Type,AGB,Mean_AGB_Carbon_Secure,Low_AGB_Carbon_Secure,Hi_AGB_Carbon_Secure,Mean_AGB_Carbon_Restor,Low_AGB_Carbon_Restor,Hi_AGB_Carbon_Restor,Mean_SOC_Carbon_Secure,Low_SOC_Carbon_Secure,Hi_SOC_Carbon_Secure,Mean_SOC_Carbon_Restor,Low_SOC_Carbon_Restor,Hi_SOC_Carbon_Restor,typology_class,total_AGB_MgC,total_SOC_MgC,total_carbon_MgC,AGB_ha,carbon_density,restoration_efficiency,AGB_uncertainty,SOC_uncertainty
Delta_8760,21770.2201635921,2836.33050216338,2828.34643418991,2844.31457013685,4134.71169642043,2926.46143680159,6115.55207535589,47098.0627277666,47058.6888835942,47137.436571939,13311.6642449196,7932.88036119805,18027.3506303601,Delta,6971.042198583809,60409.7269726862,67380.76917127,21770.2201635921,3.0950890098923156,0.801387207397969,15.968135946940038,78.74768834479619
Delta_8761,154691.625904842,24121.0983086371,24091.5996314454,24150.5969858289,25412.7072223523,16656.0124364211,39414.0340374249,539464.093109284,539246.901972008,539681.284246561,57446.7907536403,2606.16317811917,105473.868669815,Delta,49533.8055309894,596910.8838629243,646444.6893939137,154691.625904842,4.178924913437602,0.5356430737043473,58.99735438350035,434.3822745529469
Delta_8762,862532.243707617,71550.4412505504,71450.8083249934,71650.0741761074,204641.008507066,151133.946459363,282834.712362886,1203576.73720446,1203203.46783353,1203950.0065754,642021.969622446,450626.543821048,809621.657091287,Delta,276191.4497576164,1845598.706826906,2121790.156584522,862532.243707617,2.459954595394547,0.9816015393118631,199.26585111400345,746.5387418700848
Delta_8763,120094.728616064,11323.007911035,11311.827884348,11334.1879377221,27132.5251391147,19606.2001211731,38002.5553262228,294428.360289853,294005.477687689,294851.242892016,120854.281843558,77038.2868385675,159324.827919509,Delta,38455.5330501497,415282.642133411,453738.1751835607,120094.728616064,3.778168953894186,1.2322506465356866,22.360053374099152,845.7652043270064
Delta_8764,147290.623253721,22331.1559551612,22315.4576549458,22346.8542553766,24832.7745169128,17966.549348032,38145.185104066,240763.176706957,240679.919269375,240846.434144539,70496.8192868566,48459.2796327522,89796.0398831092,Delta,47163.930472074004,311259.9959938136,358423.92646588763,147290.623253721,2.433447008018094,0.6472210633500806,31.39660043079857,166.51487516399357
Delta_8765,215282.396136333,58790.8148246502,58689.9757064849,58891.6539428155,10144.761242165,5669.19985544162,29613.9407910098,2450602.03146498,2449739.83857686,2451464.2243531,51865.91626055,0.0,97282.8078647852,Delta,68935.5760668152,2502467.94772553,2571403.523792345,215282.396136333,11.944327868610022,0.2880434193209424,201.6782363306047,1724.3857762403786
Delta_8766,1267702.53990654,113111.861906758,113064.092115279,113159.631698238,292819.168396716,215890.611347039,407337.893218737,1181258.42246751,1180733.35868692,1181783.48624811,592357.580465485,413054.406270641,749420.10149557,Delta,405931.030303474,1773616.002932995,2179547.033236469,1267702.53990654,1.719289000870152,0.6982527217524229,95.53958295899793,1050.1275611899327
Delta_8767,239108.455083062,18375.6112496871,18341.8971689376,18409.3253304365,58189.3071524603,43012.9375941585,79903.2212718646,242168.213845173,241813.940646169,242522.487044176,135758.995306833,95307.1285028528,171282.408258462,Delta,76564.91840214739,377927.209152006,454492.12755415344,239108.455083062,1.9007781527268495,0.811131092758385,67.42816149889768,708.5463980069908
Delta_8768,3655573.81791903,282101.642929892,281855.072413056,282348.213446729,888449.649305959,657253.350586797,1219247.15818404,3807590.28936037,3805860.76576946,3809319.81295128,2127120.06787572,1494108.22818638,2681628.8464633,Delta,1170551.292235851,5934710.35723609,7105261.649471941,3655573.81791903,1.9436788869214188,0.8249237650187353,493.1410336730187,3459.0471818200313
Delta_8769,191211.703887807,57812.3169847105,57785.3291771415,57839.3047922795,3415.58271720414,1170.04418869349,20672.5242033718,176314.701671317,176277.883740105,176351.519602529,833.836932035145,0.0,1563.77072506446,Delta,61227.89970191464,177148.53860335212,238376.43830526675,191211.703887807,1.2466623823672087,0.022223637794329898,53.97561513799883,73.63586242400925
Delta_8770,39926.6962078637,8426.32316791568,8419.29671975663,8433.34961607473,4358.60422480436,3040.43961582111,7966.62981207763,71192.2693160734,71161.0977191684,71223.4409129785,10915.822173731,7332.74393737107,14054.3561014728,Delta,12784.92739272004,82108.0914898044,94893.01888252444,39926.6962078637,2.3766809652493843,0.38256174062122894,14.052896318100466,62.343193810098455
Delta_8771,37285.2164703204,3211.86591529664,3208.0925356459,3215.63929494737,8727.23325066465,6374.11054031458,12104.5638304894,43418.1938386336,43380.8076535087,43455.5800237585,20586.4517769282,13780.6137963645,26554.0134678768,Delta,11939.099165961292,64004.64561556179,75943.74478152308,37285.2164703204,2.0368326101036707,0.7862012830454395,7.546759301470047,74.77237024979695
