"Type","Mean_SOC_Carbon_Secure","Low_SOC_Carbon_Secure","Hi_SOC_Carbon_Secure","Mean_SOC_Carbon_Restor","Low_SOC_Carbon_Restor","Hi_SOC_Carbon_Restor"
"Estuary_90000",5366.29714891049,5346.39426386603,5386.20003395496,366.956590630197,13.6523050501023,678.560762679675
"Estuary_90001",6002.11690093309,5980.15794979237,6024.07585207381,410.435034328552,15.270654678453,758.921220685136
"Estuary_90002",435.309095097129,432.366526662923,438.251663531335,25.4482445678326,0,48.0380017960991
"Estuary_90003",693.418196785873,691.373119753413,695.463273818333,40.5373470445294,0,76.2316923742089
"Estuary_90004",267.843476838158,245.217827474682,290.469126201634,150.661955721464,97.0653900420617,205.748964392824
"Estuary_90005",823.836120516656,811.277393099066,836.394847934246,16.4533049589682,0,31.3202297378825
"Estuary_90006",29554.5778718192,29516.231286621,29592.9244570173,14107.5765280249,9547.49229172389,18110.2642264644
"Estuary_90007",0,0,0,0,0,0
"Estuary_90008",175.162783007419,163.679415677189,186.646150337648,17.0156401479763,0,33.9959173399579
"Estuary_90009",184.796821992698,180.156101557948,189.437542427447,17.9515087025318,0,34.5043442996168
"Estuary_90010",23.3224595654912,20.5096964850992,26.1352226458832,2.2655873155162,0,4.7602957099492
"Estuary_90011",51.1363841658666,43.8214919548427,58.4512763768905,4.96748393977164,0,10.6463742034276
"Estuary_90012",9294.56870940904,9181.42415882067,9407.7132599974,3996.40473608284,2547.30988594257,5300.64531587738
"Estuary_90013",11.6796029244808,8.49523715349326,14.8639686954684,0.746208918715434,0.0414832099715481,1.7170987287606
"Estuary_90014",0,0,0,0,0,0
"Estuary_90015",0,0,0,0,0,0
"Estuary_90016",0,0,0,0,0,0
"Estuary_90017",0,0,0,0,0,0
"Estuary_90018",141.197388704291,140.563100267151,141.831677141431,9.02109013737344,0.686385617879573,16.3845200099072
"Estuary_90019",420.554087475266,415.18213467938,425.926040271153,26.8691678052253,2.02738162080126,49.2033505505569
"Estuary_90020",762.66641145111,759.059553239886,766.273269662333,48.7266974664562,3.70657419669698,88.5205616466056
"Estuary_90021",34331.242966055,34269.3407476019,34393.1451845081,2193.42043197034,167.34109150028,3973.1263624366
"Estuary_90022",3296.71429890653,3287.19725349303,3306.23134432002,210.626819097114,16.0517583465547,381.938750991259
"Estuary_90023",2545.03533490267,2526.35886653257,2563.71180327277,162.602108789988,12.3364979023285,296.162240953207
"Estuary_90024",1741.63861315727,1732.24811022322,1751.02911609131,111.273154979702,8.45876469141989,202.280422602064
"Estuary_902",34339.8013427382,34294.7852649372,34384.8174205391,2188.69793724487,0,4109.18831892082
"Estuary_903",14057.4153209442,14005.6395668059,14109.1910750825,1630.28773642371,0,3068.04816026907
"Estuary_909",99261.090466681,99020.3676574254,99501.8132759366,143.438721680511,0,269.599840823028
"Estuary_920",146794.6649017,146643.558382839,146945.77142056,0,0,0
"Estuary_927",36873.5719474165,36825.5292198001,36921.6146750329,3872.35097552879,0,7270.11802020676
"Estuary_930",7611.25031834167,7584.95827528245,7637.54236140089,3407.09671180693,2251.20720859774,4426.91153809487
"Estuary_931",2343.39758403039,2331.57145931598,2355.22370874479,87.6282432569352,0,165.132122810306
"Estuary_935",18623.5531401057,18583.6698519932,18663.4364282182,1886.02849249593,0,3543.87659742243
"Estuary_936",4756.90974666128,4745.27510642246,4768.54438690011,447.798125688916,0,841.675065499586
"Estuary_937",10697.1423857219,10619.2076821923,10775.0770892514,107.065339431525,0,202.210070052455
"Estuary_939",2229.85044026777,2223.85906188307,2235.84181865247,83.3822984789057,0,156.761883982098
"Estuary_946",1001.13273377433,979.419668523024,1022.84579902564,0,0,0
"Estuary_951",66113.7168912606,65938.0181684974,66289.4156140238,0,0,0
"Estuary_953",260863.374550177,260571.796559002,261154.952541352,0,0,0
"Estuary_959",90214.3781840414,90002.7301553022,90426.0262127806,0,0,0
"Estuary_96",2653.10775668406,2641.70996791666,2664.50554545146,0,0,0
"Estuary_961",37445.321022497,37327.0227978385,37563.6192471556,4061.65373716971,0,7639.66015966815
"Estuary_97",11438.0792252802,11412.8864410041,11463.2720095563,1365.74080301853,0,2566.40418124394
"Estuary_970",22560.074298389,22455.4277532101,22664.720843568,2664.55630554598,0,5019.21758199956
"Estuary_973",232323.945589688,231635.298541028,233012.592638348,0,0,0
"Estuary_974",15632.6898912981,15565.2903548403,15700.089427756,0,0,0
"Estuary_977",9891.79767139227,9837.0458317346,9946.54951104995,1181.11016971848,0,2226.83944277238
"Estuary_979",0,0,0,0,0,0
"Estuary_982",239199.933889602,238830.734816396,239569.132962809,2153.37402285231,0,4043.80819016127
"Estuary_996",49447.3948474598,49326.3129347709,49568.4767601487,299.078615338818,5.10900812322019,557.653238905045
"Lagoon_10083",333.416960809814,328.617334743482,338.216586876146,39.8109803952017,0,75.7201313901819
"Lagoon_10095",52.2141948617025,50.6428771607637,53.7855125626413,0,0,0
"Lagoon_10116",99.1062820655115,95.7795314397302,102.433032691293,0,0,0
"Lagoon_10120",516.110227946038,511.069473298144,521.150982593932,61.6251018443031,0,116.675593118044
"Lagoon_10122",720.537783397677,704.450454636108,736.625112159247,86.0343621967376,0,164.916069886399
"Lagoon_10371",5243.33299841499,5204.2704906021,5282.39550622787,324.888103172013,0,613.703436609951
"Lagoon_10407",6033.29019719828,5806.05825951258,6260.52213488397,2723.2444471888,1728.03470018922,3668.01071444622
"Lagoon_10444",472.825945534033,466.452724338579,479.199166729487,30.2088127343796,2.27774174586534,55.3575089447815
"Lagoon_10480",139.924780663541,104.472398384525,175.377162942557,0,0,0
"Lagoon_10493",1078.96472228234,1040.8773692457,1117.05207531898,0,0,0
"Lagoon_1125",3364.64612751078,3299.91158972722,3429.38066529434,20.3507931616085,0.341790701853583,38.5810773385966
"Lagoon_1148",8864.60408914347,8826.6814874461,8902.52669084084,53.6168492735882,0.914229844830969,100.154839689916
"Lagoon_1246",17582.7821835825,17532.8790359196,17632.6853312454,106.348052622231,1.81598047955469,198.370511426888
"Lagoon_1255",2482.93750237271,2475.30507639465,2490.56992835077,296.47014953704,0,557.59028246659
"Lagoon_134",20933.1415220524,20868.6394081591,20997.6436359457,2499.47958472267,0,4700.96499312216
"Lagoon_14",3129.96680798946,3118.94201294567,3140.99160303326,373.727380058444,0,703.207075305955
"Lagoon_1415",7117.03544210596,7083.44651975839,7150.62436445354,43.0468199974683,0.73367303689814,80.4456601788641
"Lagoon_1454",13784.7151127596,13739.9255007553,13829.504724764,0,0,0
"Lagoon_1456",12114.7625127776,12078.005925719,12151.5190998361,0,0,0
"Lagoon_1564",10268.0061891697,10224.4442331131,10311.5681452263,4753.41984904095,3222.66774628102,6106.61165587423
"Lagoon_1708",191235.877937175,191021.612371998,191450.143502353,4.66919297857579,0,8.76454586572972
"Lagoon_1760",7504.77623139616,7440.99242863549,7568.56003415684,896.092684345811,0,1694.45373899034
"Lagoon_20000",403113.57059953,402803.528599667,403423.612599394,41432.1092053345,0,77744.9538679465
"Lagoon_20001",806676.475682529,806199.926225624,807153.025139434,91236.8590016457,0,171170.17083527
"Lagoon_20002",1094.43512357838,1090.42531513301,1098.44493202375,130.678820725777,0,245.920507169496
"Lagoon_20010",4595.1171074153,4569.80732862141,4620.42688620919,395.650446058412,0,745.93064596177
"Lagoon_20011",921.257993004229,906.091047196581,936.424938811876,327.06551961533,194.866965637265,447.127092556701
