"Name","Area_2020_km2","Gross_Loss","Restorable_km2","OVERALL_SRE","OVERALL_SCORE_MIN","OVERALL_SCORE_MAX","Min_Score","Max_Score","Total_Fish","Fish","Crab","Bivalve","Shrimp","MeanAGB_Secure","MeanAGB_Restor","MeanSOC_Secure","MeanSOC_Restor","Area_Rank","Proportion_Restorable"
"Guyana",273.433567054315,45.5153973805023,16.4905793320358,0.743440606396589,0.596,0.832,0.680810220842778,0.803440606396589,24215289.1206888,10442276.7950333,13773012.3256555,0,0,26452.1960647583,16234.0890675006,381850.115485004,38976.0082001075,46,6.03
"Haiti",153.849579467108,16.7649587365907,8.42084982897028,0.645970473016847,0.497473824422193,0.729970473016847,0.600725830045025,0.705970473016847,20979507.351529,10174019.915667,10805487.435862,0,0,2905.21124694779,2821.20623660966,158759.304992306,15258.4942497018,56,5.47
"Honduras",606.571999708569,73.5987905603929,66.7438901486165,0.642635280771412,0.536,0.843750659998934,0.586411798071469,0.702635280771412,548934194.412289,63013847.6897549,181452748.51653,304467598.206004,0,32990.3399273836,73391.8383695539,757128.529945337,314360.541588425,36,11
"India",4035.90687729906,418.065890521273,170.969812153222,0.717225663716814,0.478791779444951,0.924,0.686597420277739,0.7559998614165,1754061309.36229,586961417.187113,2412878.44926622,0,1164687013.72591,216381.120159452,78809.2139528378,2646243.38251715,304318.065303055,10,4.24
"Indonesia",29533.0135215795,2493.19439704868,2032.03788659518,0.773103222861522,0.504,0.904899032874942,0.677952192745851,0.82964483340742,20269225299.2729,6718048680.47417,28957673.189756,0,13522218945.609,3107830.76305839,6498037.60035848,33515131.9615698,15513679.6031356,1,6.88
"Iran, Islamic Republic of",111.767485187145,39.0835915783928,35.3227231870552,0.724913443830571,0.681924050632911,0.864,0.716,0.784913443830571,347612848.945453,118367799.791233,481478.119879277,0,228763571.034341,27296.0567351455,939.639153375432,446124.747735253,1110.07681942257,57,31.6
"Jamaica",99.4505496681984,10.7700221352331,6.69635200039815,0.588,0.524,0.669970473016847,0.552,0.648,14275964.1563987,6923134.14270725,7352830.01369144,0,0,3075.17942078928,3991.20208289173,129390.518297722,15100.7753267811,59,6.73
"Japan",10.3113315828307,0.580650816146583,0.464587661851621,0.809052840223838,0.709052840223838,0.837052840223838,0.677754707694131,0.869052840223838,1074842.72505543,372370.284974256,1516.08271015408,0,700956.357371024,561.569915601961,1310.14094569755,6177.88652431445,2886.1436509021,80,4.51
"Kenya",544.285939468299,27.6372886715203,14.8120056192892,0.708,0.608,0.850574390780324,0.672,0.728,96755046.8404789,16244179.4992898,49486317.9106264,0,31024549.4305627,11481.8099122457,7836.05887242922,354840.5374349,30115.7103448013,37,2.72
"Kiribati",1.46482618609747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA
"Liberia",183.310522131354,10.0923429796327,5.67909930020744,0.755919206976224,0.524,0.823919206976224,0.668222702541552,0.815919206976224,0,0,0,0,0,2814.28272767247,4533.11104616799,102603.419497162,20546.4244286863,53,3.1
"Madagascar",2775.67613623715,133.374771411633,112.85578087078,0.748757305072877,0.62,0.872401344340314,0.700750919722454,0.753920909911097,1940250205.16626,299926688.65505,1039144655.5223,0,601178860.988911,274662.229494065,151385.657878869,2068080.58047504,167592.275438793,16,4.07
"Malaysia",5253.35069472486,194.191753445219,138.605957849672,0.80690580335254,0.588967081355829,0.902147899724854,0.691089676257203,0.858071583070176,1498072296.85493,503930463.507291,2106194.08672881,0,992035639.260906,204948.148737279,565892.590944036,2329124.59167004,1168267.19126161,7,2.64
