"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Delta_8809",311.659789580106,95.5640870101069,90.3697311452118,100.758442875002,4.23249421133889,0.930508165410018,34.1022664332478
"Delta_8810",51409.9371413139,9187.40288731496,9157.23529285533,9217.57048177458,7274.57308470518,5160.72466908,11950.8626256316
"Delta_8811",4437.19203416368,1380.80978911139,1356.29794841187,1405.32162981092,40.0234721481564,0,448.073563128118
"Delta_8812",15208.5329926293,4732.74338197632,4688.23205305839,4777.25471089425,137.180967593517,0,1523.18266144454
"Delta_8813",467816.452650184,93063.5130008335,92913.2458094806,93213.7801921864,56735.993302282,38689.9676409476,99092.7818882707
"Delta_8814",21800.1216343992,3775.94266275831,3761.66808337639,3790.21724214024,3204.67428579267,2074.61464635464,5190.59388456612
"Delta_8815",2307.98100147045,321.295253304576,320.88305978055,321.707446828602,417.743343176278,274.441939101255,626.726233907786
"Delta_8816",53719.3536021648,7498.47808251268,7465.46696160253,7531.48920342282,9702.99613443652,6654.25080388745,14612.5297184625
"Delta_8817",4773.50161077868,1485.46596625822,1480.60865619958,1490.32327631685,43.0569845292237,0,475.175537376388
"Delta_8818",82672.9376969491,25158.9229068126,25110.0334517328,25207.8123618923,1313.77847312751,392.514016073225,8787.92124421183
"Delta_8819",10268.4705089537,1303.87135998751,1294.59029496417,1313.15242501086,1984.19558168456,1326.3357022912,2931.12817410926
"Delta_8820",97448.7832803704,7641.95760813661,7634.03238589322,7649.88283038,23562.1172860708,17391.3041979016,32385.5487278062
"Delta_8821",10841.1026534409,1766.05336250673,1755.44218046846,1776.664544545,1705.37611815157,1106.25944375251,2699.365619248
"Delta_8822",595.232953093668,84.9644445740198,84.3324221058144,85.5964670422251,105.635099336104,70.1284195491661,160.510278640002
"Delta_8823",2933131.06728753,226417.149893637,226213.275222362,226621.024564913,712800.749162501,527233.445173627,978249.232057252
"Delta_8824",90402.2483072983,7919.5948546295,7900.59906236915,7938.59064688984,21028.1090758505,15469.6938308156,29252.3882131152
"Delta_8825",1172.75938597618,364.950993321927,356.862334339714,373.039652304139,10.5782896615051,0,118.940178995523
"Delta_8826",32443.4186477037,5209.71659012894,5191.95206889663,5227.48111136125,5178.99049505226,3397.93444224329,8133.02527356624
"Delta_8827",63220.8610152601,12279.1460613607,12266.9415591186,12291.3505636029,7964.8058443357,5114.21820585482,13680.9117529713
"Delta_8828",267001.276275553,21411.7763296347,21395.2448678888,21428.3077913806,64084.7023465601,47331.3988041089,88236.2897970848
